eu0	0	[[0, 6609999], [6908000, 10482999], [10497000, 10848999], [10983000, 10993999], [11017000, 11844999], [11884000, 20588999], [20721000, 23356999], [23374000, 25693999], [25773000, 28277999], [28570000, 28939999], [28992000, 29688999], [29731000, 32443999], [32468000, 33841999], [33901000, 34423999], [34465000, 39225999], [39270000, 40548999], [40663000, 47292999], [47327000, 49998999]]
eu0	1	[[0, 4793999], [4797000, 7117999], [7236000, 9785999], [9841000, 10444999], [10668000, 11844999], [11904000, 12713999], [12723000, 13543999], [13619000, 23260999], [23414000, 24305999], [24335000, 24421999], [24558000, 25610999], [25679000, 25753999], [25799000, 26885999], [26938000, 28184999], [28261000, 28850999], [28861000, 34074999], [34104000, 34727999], [34738000, 36738999], [36775000, 38966999], [38990000, 39305999], [39330000, 39385999], [39477000, 39525999], [39580000, 43962999], [44070000, 47292999], [47327000, 48450999], [48459000, 49998999]]
eu1	0	[[0, 6609999], [6908000, 10482999], [10779000, 10893999], [10917000, 20588999], [20721000, 23356999], [23374000, 24061999], [24130000, 24296999], [24335000, 24421999], [24558000, 25555999], [25656000, 25752999], [25799000, 28321999], [28502000, 32246999], [32266000, 33841999], [33901000, 34423999], [34456000, 39004999], [39032000, 39305999], [39330000, 39465999], [39580000, 40355999], [40697000, 44082999], [44101000, 48450999], [48459000, 48967999], [48986000, 49536999], [49599000, 49998999]]
eu1	1	[[0, 5792999], [5802000, 6682999], [6754000, 10784999], [10797000, 10893999], [10917000, 11872999], [11894000, 12609999], [12681000, 14526999], [14530000, 23336999], [23362000, 23543999], [23551000, 23667999], [23732000, 25555999], [25704000, 28321999], [28502000, 38711999], [38733000, 39226999], [39269000, 40525999], [40621000, 47595999], [47653000, 49998999]]
eu2	0	[[0, 391999], [394000, 5010999], [5018000, 6101999], [6113000, 10400999], [10410000, 10575999], [10581000, 11910999], [11989000, 13543999], [13641000, 23336999], [23394000, 23429999], [24001000, 25021999], [25132000, 25484999], [25656000, 25702999], [25732000, 25752999], [25761000, 25946999], [25967000, 28211999], [28284000, 28447999], [28502000, 30767999], [30790000, 34373999], [34438000, 34727999], [34738000, 35489999], [35498000, 37056999], [37128000, 39232999], [39294000, 40163999], [40189000, 40559999], [40576000, 40860999], [40922000, 47524999], [47619000, 48517999], [48550000, 49998999]]
eu2	1	[[0, 1920999], [2072000, 5009999], [5018000, 10888999], [10983000, 10993999], [11017000, 13561999], [13610000, 18534999], [18541000, 22369999], [22398000, 22655999], [22717000, 23336999], [23394000, 24431999], [24591000, 24976999], [25132000, 25448999], [25493000, 25753999], [25965000, 28211999], [28502000, 29087999], [29146000, 32246999], [32266000, 32443999], [32468000, 33673999], [33693000, 34423999], [34465000, 35489999], [35498000, 37308999], [37355000, 38744999], [38767000, 39103999], [39152000, 39305999], [39330000, 39465999], [39580000, 41478999], [41500000, 48178999], [48199000, 48491999], [48508000, 48967999], [48986000, 49998999]]
eu3	0	[[0, 3795999], [3834000, 6656999], [6787000, 7117999], [7237000, 10202999], [10248000, 10833999], [10865000, 21725999], [21743000, 22220999], [22261000, 22470999], [22490000, 24555999], [24637000, 24959999], [24976000, 25469999], [25493000, 28044999], [28202000, 28246999], [28264000, 28277999], [28570000, 28940999], [29041000, 29095999], [29172000, 29409999], [29442000, 34290999], [34380000, 34467999], [34478000, 38740999], [38918000, 40713999], [40744000, 48967999], [48993000, 49998999]]
eu3	1	[[0, 1920999], [2072000, 3356999], [3443000, 4793999], [4797000, 13573999], [13629000, 14342999], [14370000, 19833999], [19881000, 24296999], [24335000, 24363999], [24754000, 25448999], [25493000, 25508999], [25704000, 28044999], [28202000, 28248999], [28358000, 29095999], [29172000, 34290999], [34380000, 34423999], [34437000, 38716999], [38733000, 38975999], [39056000, 39379999], [39413000, 41478999], [41500000, 43962999], [44070000, 48178999], [48199000, 48491999], [48508000, 48967999], [48986000, 49998999]]
eu4	0	[[0, 6589999], [6754000, 6801999], [6870000, 10575999], [10581000, 12263999], [12274000, 22794999], [22915000, 23389999], [23460000, 23480999], [23539000, 24431999], [24558000, 25693999], [25759000, 28248999], [28502000, 28522999], [28589000, 28613999], [28670000, 32380999], [32410000, 33673999], [33693000, 33841999], [33901000, 34727999], [34752000, 35630999], [35715000, 38887999], [39056000, 40141999], [40154000, 40338999], [40408000, 41411999], [41450000, 47524999], [47619000, 48450999], [48459000, 49998999]]
eu4	1	[[0, 7117999], [7192000, 11844999], [11915000, 15635999], [15642000, 20650999], [20721000, 22700999], [22757000, 23799999], [23892000, 23909999], [24046000, 24486999], [24500000, 24957999], [25060000, 27693999], [27710000, 28228999], [28264000, 34423999], [34460000, 37056999], [37128000, 38744999], [38767000, 38887999], [39056000, 39095999], [39134000, 40588999], [40613000, 49998999]]
